PRODGROUP3,OPERATION,OPER_SHORT_DESC,CURRENT_WIP
PP-RPLS601,0589,5898,21106
ADP,1429,HTS-ST,2688
RPLS881,7290,Z048,2658
ADPIOT,3201,C048,1434
PP-RPLPX682,0699,METPAUSE,1615
PP-RPLP282,0599,AI48,32959
PP-ARLS681,2170,TACS1,4142
MTP,7399,Y048,550
MTP,7356,FVI,1424
RPLP282,7906,UV MARK,3464
RPLP282,1007,DVI EOL,3929
RPLP282,7297,PPV SPS-1,15066
RPRP282,1429,HTS-ST,1789
RPRP282,8832,PHVI2,1792
RPRP282,7906,UV MARK,1593
PP-SPRXCS,0589,5898,69
RPLP282,1235,EYC,3583
RPLP282,2172,TACS3,3582
RPLP682,1204,DIE_TCB,26558
RPLP682,2004,JDFLX,1792
RPLP682,1225,EYUF,1791
RPRP682,6379,OLBQA4,2096
ARLS681,1987,HPO HTS1,5879
ARLR816L,7571,OLBPBICBIN,6026
ARLR816L,7820,MPSTEST1,10974
SPRXCS,9021,METPCK LTH,405
SPRXCS,7368,FVI,1
ARLS816L,1225,EYUF,7798
ARLH682,2133,NG-BAL DH1,1792
ARLH682,0970,FLI BLUE M,1787
ARLH682,1204,DIE_TCB,14815
SKHB42,7600,METSTORE,319
KBHB42,2172,TACS3,3268
ARLU281,1225,EYUF,65038
ARLU281,7906,UV MARK,2143
PP-ADLS881,0589,5898,48915
PP-ADLS881,0510,JDSC,5782
ADP,7571,OLBPBICBIN,8040
ADP,5651,JEDEC-TPP1,2686
ADP,1225,EYUF,8062
ADPIOT,7290,Z048,5350
ADP,7399,Y048,2600
PP-RPLP682,1173,LCSC,5037
PP-MTP,0589,5898,69187
PP-MTP,0599,AI48,6705
PP-RPLP282,0799,SITEXP INV,530
PP-RPLP282,1173,LCSC,18471
PP-RPLP282,2173,TACSSTF1,34370
PP-ARLS681,0510,JDSC,4410
RPRS881,5653,JEDEC-TPR1,5880
RPRS881,1892,MPEVI LGA,1470
RPRS881,7475,ASTRAP,6496
RPLP282,7820,MPSTEST1,43612
RPRP282,7399,Y048,3420
RPLP682,6379,OLBQA4,6319
RPLP682,7475,ASTRAP,1171
ARLS681,6970,PPVS&PPVM,3709
RPRP682,1235,EYC,4023
RPRP682,7354,MVQA,1299
RPRP682,7300,MARK,567
ARLS681,7345,AQC,19
SPRXCS,7354,MVQA,39
ARLS816L,7345,AQC,2349
ARLR816L,7475,ASTRAP,1529
ARLS816L,7820,MPSTEST1,36896
ARLS816L,1536,IVINSBA,4703
ARLS816L,7472,MVQA,562
ARLS816L,1987,HPO HTS1,7819
ARLH682,5653,JEDEC-TPR1,1790
ARLH682,7060,SBL STR,1736
ARLH682,7399,Y048,3436
ARLH682,7906,UV MARK,3452
ARLR816L,5001,U048,11
KBHB42,0589,5898,2088
SKGB42,7600,METSTORE,1485
SKLU22,7600,METSTORE,1
KBHB42,7600,METSTORE,417
CFLH62,0699,METPAUSE,2286
PP-CMLS62,0699,METPAUSE,9390
ARLU281,2700,C048,90
ARLU281,1204,DIE_TCB,60253
ARLU281,7571,OLBPBICBIN,7462
ARLU281,1987,HPO HTS1,8957
ARLU281,5651,JEDEC-TPP1,5369
ARLU281,0970,FLI BLUE M,10746
ARLU281,7290,Z048,65062
ARLU281,1007,DVI EOL,7836
ARLU281,6676,OLBQA1,8
ICK,7600,METSTORE,3641
ADP,3201,C048,9225
PP-RPLP682,2177,TACSSTF4,1680
PP-RPLP682,0799,SITEXP INV,857
PP-RPLP282,1175,PLCSVI,7161
PP-RPLP282,1171,LCSA,33487
MTP,2085,TRI TNR,14310
MTP,2126,ENG DOE,475
RPRS881,7290,Z048,25289
RPRS881,1007,DVI EOL,1632
RPRS601,7290,Z048,1410
RPRP282,7000,PCS FVI,1397
PP-MTLU281,0589,5898,83382
RPRP282,1204,DIE_TCB,20603
RPRP282,7600,METSTORE,794
PP-SPRXCS,0599,AI48,28
RPLP282,1204,DIE_TCB,22953
RPLP282,5653,JEDEC-TPR1,3573
RPLP682,1007,DVI EOL,3214
PP-RSLXCP,0599,AI48,8
RPLP682,7571,OLBPBICBIN,7160
ARLS681,7399,Y048,542
ARLS681,7475,ASTRAP,4321
RPRP682,1007,DVI EOL,1446
ARLS681,7571,OLBPBICBIN,2940
ARLS681,7060,SBL STR,1410
ARLR816L,7300,MARK,538
ARLR816L,6274,MPSPHM1,1084
PP-ARLH682,1173,LCSC,10077
PP-ARLH682,2173,TACSSTF1,12227
PP-ARLH682,0589,5898,43479
ARLS816L,7000,PCS FVI,1304
ARLS816L,1237,CSAM,1568
ARLH682,1225,EYUF,3583
ARLR816L,9668,PEVI 1T2T,1042
ARLR816L,7200,C048,1
ARLU281,7820,MPSTEST1,19691
ARLU281,5653,JEDEC-TPR1,5353
ARLU281,6970,PPVS&PPVM,32336
PP-ARLU281,2048,TCB PLASMA,11749
PP-ARLU281,1173,LCSC,6720
ICK,2171,TACS2,4509
PP-ADLS881,0599,AI48,27529
PP-ADLS881,2170,TACS1,2950
ADP,7594,TRI INSP,15482
PP-RPLP682,2173,TACSSTF1,7323
PP-RPLP682,1171,LCSA,8400
PP-RPLP282,2174,TACSSTF2,1274
RPRS881,1235,EYC,6467
RPRS881,7300,MARK,1840
RPLP282,7354,MVQA,1496
RPLP282,7399,Y048,2085
RPRP282,1225,EYUF,3569
RPLP282,7571,OLBPBICBIN,3584
RPLP682,7290,Z048,13989
PP-RSLXCP,0799,SITEXP INV,288
PP-RSLXCP,0699,METPAUSE,548
ARLS681,1007,DVI EOL,2136
RPRP682,2172,TACS3,3580
RPRP682,2133,NG-BAL DH1,16082
ARLU281,9021,METPCK LTH,461
ARLS681,7820,MPSTEST1,14217
ARLS681,0265,2D XRAY,1470
ARLR816L,2090,DLAS,7589
ARLR816L,1007,DVI EOL,1902
SPRXCS,7200,C048,1
ARLS816L,7290,Z048,12118
PP-ARLS816,2048,TCB PLASMA,147
ARLS816L,1204,DIE_TCB,15398
ARLH682,7820,MPSTEST1,15817
ARLH682,7290,Z048,6895
ARLR816L,1366,DLA HPO,3136
