TYPE,ROUTE,SDD_SEQUENCE,OPERATION,OPERATION_DESC,ENTITY,MOR,SAMPLE_RATE,CT,SHIFT_START_WIP,GOAL_TYPE,TOTAL_GOAL,SUBCELL_INFO,PASS_WIP
UNIT,ADLP282,150,1863,MPEVI-BARE,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLP282,160,1245,SAPEVIBARE,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,20,1204,DIETCB,,16.0,100.0,0.0,0.0,LoadingPlan_no_goal,0.0,,0.0
UNIT,ADLS601,30,5651,JEDEC-TPP1,,67.37,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,40,2004,JDFLX,,74.3,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,50,1225,EYUF,,21.52,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,60,1429,HTS-ST,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,70,1235,EYC,,10.17,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,80,1430,HTS-US,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,90,1237,CSAM,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,100,1253,PEM,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,110,5653,JEDEC-TPR1,,67.02,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,120,2171,TACS2,,21.24,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,130,2176,TACSRWK6,,41.08,70.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,140,1892,MPEVI-LGA,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,150,2150,ERGO2JLP1,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,160,2090,DLAS,,13.2,100.0,0.0,0.0,LoadingPlan_no_goal,0.0,,0.0
UNIT,ADLS601,170,1264,IHSAA,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,180,1501,JEDEC-TPT1,,59.28,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,190,1266,STIM-DLA,,9.16,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,200,1268,CSAM2,,48.95,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,210,4992,JEDEC-TPT2,,59.18,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,220,265,2D-XRAY,,48.95,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS601,230,2172,TACS3,,21.24,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,20,1204,DIETCB,,16.0,100.0,0.0,0.0,LoadingPlan_no_goal,0.0,,0.0
UNIT,ADLS881,30,5651,JEDEC-TPP1,,67.37,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,40,2004,JDFLX,,74.3,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,50,1225,EYUF,,21.52,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,60,1429,HTS-ST,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,70,1235,EYC,,10.17,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,80,1430,HTS-US,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,90,1237,CSAM,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,100,1253,PEM,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,110,5653,JEDEC-TPR1,,67.02,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,120,2171,TACS2,,21.24,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,130,2176,TACSRWK6,,47.97,60.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,140,1892,MPEVI-LGA,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,150,2150,ERGO2JLP1,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,160,2090,DLAS,,11.5,100.0,0.0,0.0,LoadingPlan_no_goal,0.0,,0.0
UNIT,ADLS881,170,1264,IHSAA,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,180,1501,JEDEC-TPT1,,59.28,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,190,1266,STIM-DLA,,9.16,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,200,1268,CSAM2,,48.95,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,210,4992,JEDEC-TPT2,,59.18,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,220,265,2D-XRAY,,48.95,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLS881,230,2172,TACS3,,21.24,100.0,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADP,20,971,HYBRID-CAM,,27.0,100.0,2.0,0.0,LoadingPlan_no_goal,0.0,,0.0
UNIT,ADP,30,5651,JEDEC-TPP1,,115.59,100.0,0.9,0.0,CleanWIP,0.0,,0.0
UNIT,ADP,40,2004,JDFLX,,,,1.23,0.0,CleanWIP,0.0,,0.0
UNIT,ADP,50,1225,EYUF,,26.03,100.0,3.11,0.0,CleanWIP,0.0,,0.0
UNIT,ADP,60,1429,HTS-ST,,,,0.86,0.0,CleanWIP,0.0,,0.0
UNIT,ADP,70,1235,EYC,,18.08,100.0,4.06,0.0,CleanWIP,0.0,,0.0
UNIT,ADP,80,1430,HTS-US,,,,0.16,0.0,CleanWIP,0.0,,0.0
UNIT,ADP,90,5653,JEDEC-TPR1,,114.89,100.0,1.6,0.0,CleanWIP,0.0,,0.0
UNIT,ADP,100,2171,TACS2,,39.55,75.0,2.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADP,110,2152,ERGO2JLP2,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADP,120,2133,NG-BAL-DH1,BAL708,39.84,100.0,5.1,0.0,CleanWIP,0.0,,0.0
UNIT,ADP,130,2172,TACS3,,32.16,100.0,2.5,0.0,CleanWIP,0.0,,0.0
UNIT,ADP,140,1025,AVI-CS,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADP,150,1245,SAPEVIBARE,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADPIOT,20,971,HYBRID-CAM,,27.0,100.0,2.0,0.0,LoadingPlan_no_goal,0.0,,0.0
UNIT,ADPIOT,30,5651,JEDEC-TPP1,,115.59,100.0,0.95,0.0,CleanWIP,0.0,,0.0
UNIT,ADPIOT,40,2004,JDFLX,,,,1.28,0.0,CleanWIP,0.0,,0.0
UNIT,ADPIOT,50,1225,EYUF,,26.03,100.0,2.82,0.0,CleanWIP,0.0,,0.0
UNIT,ADPIOT,60,1429,HTS-ST,,,,0.93,0.0,CleanWIP,0.0,,0.0
UNIT,ADPIOT,70,1235,EYC,,18.08,100.0,3.9,0.0,CleanWIP,0.0,,0.0
UNIT,ADPIOT,80,1430,HTS-US,,,,0.12,0.0,CleanWIP,0.0,,0.0
UNIT,ADPIOT,90,5653,JEDEC-TPR1,,114.89,100.0,1.53,2.656,CleanWIP,2.656,,0.0
UNIT,ADPIOT,100,2171,TACS2,,39.55,75.0,2.0,0.0,IncomingWIP,1.738,,0.579
UNIT,ADPIOT,110,2150,ERGO2JLP1,,,,0.0,0.0,IncomingWIP,2.027,,0.0
UNIT,ADPIOT,120,2152,ERGO2JLP2,,,,0.0,0.0,IncomingWIP,2.027,,0.0
UNIT,ADPIOT,130,2133,NG-BAL-DH1,,39.84,100.0,5.16,3.071,IncomingWIP,3.071,,0.0
UNIT,ADPIOT,140,2172,TACS3,,32.16,100.0,2.06,18.807,IncomingWIP,20.557,,0.0
UNIT,ADPIOT,150,1245,SAPEVIBARE,,,,0.0,0.0,IncomingWIP,17.028,,0.0
UNIT,ADPIOT,160,1025,AVI-CS,,,,0.0,0.0,IncomingWIP,17.028,,0.0
UNIT,ADV,10,19,R048#2,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ARB,20,610,MET3SUB,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ARB,30,601,2D+HR-MARK,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ARB,40,1208,APL,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ARB,60,2000,SUB-SCRAP,,,,0.0,0.0,CleanWIP,0.0,,0.0
